Datum,Verzija,Modra_Stran,Rdeca_Stran,Zmagovalec,Modri_Igralci,Rdeci_Igralci,Liga
2023-03-27,13.4,Team Heretics,SK Gaming,Team Heretics,"['Evi', ' Jankos', ' Ruby', ' Jackspektra', ' Mersa']","['Irrelevant', ' Markoon', ' Sertuss', ' Exakick', ' Doss']",LEC
2023-03-27,13.4,Astralis,Fnatic,Astralis,"['Finn', ' 113', ' LIDER', ' Kobbe', ' JeongHoon']","['Oscarinin', ' Razork', ' Humanoid', ' Rekkles', ' Advienne']",LEC
2023-03-27,13.4,Team BDS,Excel Esports,Team BDS,"['Adam', ' Sheo', ' nuc', ' Crownie', ' Labrov']","['Odoamne', ' Xerxe', ' Abbedagge', ' Patrik', ' LIMIT']",LEC
2023-03-26,13.4,G2 Esports,Fnatic,Fnatic,"['BrokenBlade', ' Yike', ' Caps', ' Hans Sama', ' Mikyx']","['Oscarinin', ' Razork', ' Humanoid', ' Rekkles', ' Advienne']",LEC
2023-03-26,13.4,Team Vitality,Team Heretics,Team Vitality,"['Photon', ' Bo', ' Perkz', ' Upset', ' Kaiser']","['Evi', ' Jankos', ' Ruby', ' Jackspektra', ' Mersa']",LEC
2023-03-26,13.4,KOI (Spanish Team),Team BDS,Team BDS,"['Szygenda', ' Malrang', ' Larssen', ' Comp', ' Trymbi']","['Adam', ' Sheo', ' nuc', ' Crownie', ' Labrov']",LEC
2023-03-26,13.4,MAD Lions,SK Gaming,MAD Lions,"['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']","['Irrelevant', ' Markoon', ' Sertuss', ' Exakick', ' Doss']",LEC
2023-03-26,13.4,Excel Esports,Astralis,Astralis,"['Odoamne', ' Xerxe', ' Abbedagge', ' Patrik', ' LIMIT']","['Finn', ' 113', ' LIDER', ' Kobbe', ' JeongHoon']",LEC
2023-03-25,13.4,SK Gaming,G2 Esports,G2 Esports,"['Irrelevant', ' Markoon', ' Sertuss', ' Exakick', ' Doss']","['BrokenBlade', ' Yike', ' Caps', ' Hans Sama', ' Mikyx']",LEC
2023-03-25,13.4,Fnatic,MAD Lions,Fnatic,"['Oscarinin', ' Razork', ' Humanoid', ' Rekkles', ' Advienne']","['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']",LEC
2023-03-25,13.4,Team Vitality,Team BDS,Team BDS,"['Photon', ' Bo', ' Perkz', ' Upset', ' Kaiser']","['Adam', ' Sheo', ' nuc', ' Crownie', ' Labrov']",LEC
2023-03-25,13.4,KOI (Spanish Team),Excel Esports,KOI (Spanish Team),"['Szygenda', ' Malrang', ' Larssen', ' Comp', ' Trymbi']","['Odoamne', ' Xerxe', ' Abbedagge', ' Patrik', ' LIMIT']",LEC
2023-03-25,13.4,Team Heretics,Astralis,Astralis,"['Evi', ' Jankos', ' Ruby', ' Jackspektra', ' Mersa']","['Finn', ' 113', ' LIDER', ' Kobbe', ' JeongHoon']",LEC
2023-03-20,13.4,Fnatic,KOI (Spanish Team),Fnatic,"['Oscarinin', ' Razork', ' Humanoid', ' Rekkles', ' Advienne']","['Szygenda', ' Malrang', ' Larssen', ' Comp', ' Trymbi']",LEC
2023-03-20,13.4,Team BDS,G2 Esports,G2 Esports,"['Adam', ' Sheo', ' nuc', ' Crownie', ' Labrov']","['BrokenBlade', ' Yike', ' Caps', ' Hans Sama', ' Mikyx']",LEC
2023-03-20,13.4,Astralis,Team Vitality,Astralis,"['Finn', ' 113', ' LIDER', ' Kobbe', ' JeongHoon']","['Photon', ' Bo', ' Perkz', ' Upset', ' Kaiser']",LEC
2023-03-20,13.4,MAD Lions,Team Heretics,Team Heretics,"['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']","['Evi', ' Jankos', ' Ruby', ' Jackspektra', ' Mersa']",LEC
2023-03-20,13.4,Excel Esports,SK Gaming,SK Gaming,"['Odoamne', ' Xerxe', ' Vetheo', ' Patrik', ' LIMIT']","['Irrelevant', ' Markoon', ' Sertuss', ' Exakick', ' Doss']",LEC
2023-03-19,13.4,G2 Esports,Team Vitality,G2 Esports,"['BrokenBlade', ' Yike', ' Caps', ' Hans Sama', ' Mikyx']","['Photon', ' Bo', ' Perkz', ' Upset', ' Kaiser']",LEC
2023-03-19,13.4,SK Gaming,KOI (Spanish Team),KOI (Spanish Team),"['Irrelevant', ' Markoon', ' Sertuss', ' Exakick', ' Doss']","['Szygenda', ' Malrang', ' Larssen', ' Comp', ' Trymbi']",LEC
2023-03-19,13.4,Team Heretics,Fnatic,Fnatic,"['Evi', ' Jankos', ' Ruby', ' Jackspektra', ' Mersa']","['Oscarinin', ' Razork', ' Humanoid', ' Rekkles', ' Advienne']",LEC
2023-03-19,13.4,Excel Esports,MAD Lions,Excel Esports,"['Odoamne', ' Xerxe', ' Vetheo', ' Patrik', ' LIMIT']","['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']",LEC
2023-03-19,13.4,Team BDS,Astralis,Team BDS,"['Adam', ' Sheo', ' nuc', ' Crownie', ' Labrov']","['Finn', ' 113', ' LIDER', ' Kobbe', ' JeongHoon']",LEC
2023-03-18,13.4,KOI (Spanish Team),G2 Esports,KOI (Spanish Team),"['Szygenda', ' Malrang', ' Larssen', ' Comp', ' Trymbi']","['BrokenBlade', ' Yike', ' Caps', ' Hans Sama', ' Mikyx']",LEC
2023-03-18,13.4,Team Vitality,SK Gaming,Team Vitality,"['Photon', ' Bo', ' Perkz', ' Upset', ' Kaiser']","['Irrelevant', ' Markoon', ' Sertuss', ' Exakick', ' Doss']",LEC
2023-03-18,13.4,Fnatic,Team BDS,Team BDS,"['Oscarinin', ' Razork', ' Humanoid', ' Rekkles', ' Advienne']","['Adam', ' Sheo', ' nuc', ' Crownie', ' Labrov']",LEC
2023-03-18,13.4,Team Heretics,Excel Esports,Team Heretics,"['Evi', ' Jankos', ' Ruby', ' Jackspektra', ' Mersa']","['Odoamne', ' Xerxe', ' Vetheo', ' Patrik', ' LIMIT']",LEC
2023-03-18,13.4,Astralis,MAD Lions,MAD Lions,"['Finn', ' 113', ' LIDER', ' Kobbe', ' JeongHoon']","['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']",LEC
2023-03-13,13.4,Fnatic,Team Vitality,Team Vitality,"['Oscarinin', ' Razork', ' Humanoid', ' Rekkles', ' Advienne']","['Photon', ' Bo', ' Perkz', ' Upset', ' Kaiser']",LEC
2023-03-13,13.4,G2 Esports,Excel Esports,G2 Esports,"['BrokenBlade', ' Yike', ' Caps', ' Hans Sama', ' Mikyx']","['Odoamne', ' Xerxe', ' Vetheo', ' Patrik', ' LIMIT']",LEC
2023-03-13,13.4,MAD Lions,KOI (Spanish Team),MAD Lions,"['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']","['Szygenda', ' Malrang', ' Larssen', ' Comp', ' Trymbi']",LEC
2023-03-13,13.4,Team Heretics,Team BDS,Team BDS,"['Evi', ' Jankos', ' Ruby', ' Jackspektra', ' Mersa']","['Adam', ' Sheo', ' nuc', ' Crownie', ' Labrov']",LEC
2023-03-13,13.4,SK Gaming,Astralis,SK Gaming,"['Irrelevant', ' Markoon', ' Sertuss', ' Exakick', ' Doss']","['Finn', ' 113', ' LIDER', ' Kobbe', ' JeongHoon']",LEC
2023-03-12,13.4,KOI (Spanish Team),Team Heretics,KOI (Spanish Team),"['Szygenda', ' Malrang', ' Larssen', ' Comp', ' Trymbi']","['Evi', ' Jankos', ' Ruby', ' Jackspektra', ' Mersa']",LEC
2023-03-12,13.4,Astralis,G2 Esports,Astralis,"['Finn', ' 113', ' LIDER', ' Kobbe', ' JeongHoon']","['BrokenBlade', ' Yike', ' Caps', ' Hans Sama', ' Mikyx']",LEC
2023-03-12,13.4,SK Gaming,Fnatic,SK Gaming,"['Irrelevant', ' Markoon', ' Sertuss', ' Exakick', ' Doss']","['Oscarinin', ' Razork', ' Humanoid', ' Rekkles', ' Advienne']",LEC
2023-03-12,13.4,Excel Esports,Team Vitality,Team Vitality,"['Odoamne', ' Xerxe', ' Vetheo', ' Patrik', ' LIMIT']","['Photon', ' Bo', ' Perkz', ' Upset', ' Kaiser']",LEC
2023-03-12,13.4,Team BDS,MAD Lions,Team BDS,"['Adam', ' Sheo', ' nuc', ' Crownie', ' Labrov']","['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']",LEC
2023-03-11,13.4,G2 Esports,Team Heretics,G2 Esports,"['BrokenBlade', ' Yike', ' Caps', ' Hans Sama', ' Mikyx']","['Evi', ' Jankos', ' Ruby', ' Jackspektra', ' Mersa']",LEC
2023-03-11,13.4,Astralis,KOI (Spanish Team),Astralis,"['Finn', ' 113', ' LIDER', ' Kobbe', ' JeongHoon']","['Szygenda', ' Malrang', ' Larssen', ' Comp', ' Trymbi']",LEC
2023-03-11,13.4,Team Vitality,MAD Lions,Team Vitality,"['Photon', ' Bo', ' Perkz', ' Upset', ' Kaiser']","['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']",LEC
2023-03-11,13.4,Team BDS,SK Gaming,SK Gaming,"['Adam', ' Sheo', ' nuc', ' Crownie', ' Labrov']","['Irrelevant', ' Markoon', ' Sertuss', ' Exakick', ' Doss']",LEC
2023-03-11,13.4,Excel Esports,Fnatic,Excel Esports,"['Odoamne', ' Xerxe', ' Vetheo', ' Patrik', ' LIMIT']","['Oscarinin', ' Razork', ' Humanoid', ' Rekkles', ' Advienne']",LEC
2023-04-23,13.6,Team BDS,MAD Lions,MAD Lions,"['Adam', ' Sheo', ' nuc', ' Crownie', ' Labrov']","['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']",LEC
2023-04-23,13.6,Team BDS,MAD Lions,MAD Lions,"['Adam', ' Sheo', ' nuc', ' Crownie', ' Labrov']","['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']",LEC
2023-04-23,13.6,MAD Lions,Team BDS,MAD Lions,"['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']","['Adam', ' Sheo', ' nuc', ' Crownie', ' Labrov']",LEC
2023-04-23,13.6,MAD Lions,Team BDS,Team BDS,"['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']","['Adam', ' Sheo', ' nuc', ' Crownie', ' Labrov']",LEC
2023-04-23,13.6,Team BDS,MAD Lions,Team BDS,"['Adam', ' Sheo', ' nuc', ' Crownie', ' Labrov']","['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']",LEC
2023-04-22,13.6,Team Vitality,MAD Lions,MAD Lions,"['Photon', ' Bo', ' Perkz', ' Upset', ' Kaiser']","['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']",LEC
2023-04-22,13.6,MAD Lions,Team Vitality,MAD Lions,"['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']","['Photon', ' Bo', ' Perkz', ' Upset', ' Kaiser']",LEC
2023-04-22,13.6,Team Vitality,MAD Lions,Team Vitality,"['Photon', ' Bo', ' Perkz', ' Upset', ' Kaiser']","['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']",LEC
2023-04-22,13.6,Team Vitality,MAD Lions,MAD Lions,"['Photon', ' Bo', ' Perkz', ' Upset', ' Kaiser']","['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']",LEC
2023-04-21,13.6,MAD Lions,G2 Esports,MAD Lions,"['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']","['BrokenBlade', ' Yike', ' Caps', ' Hans Sama', ' Mikyx']",LEC
2023-04-21,13.6,G2 Esports,MAD Lions,G2 Esports,"['BrokenBlade', ' Yike', ' Caps', ' Hans Sama', ' Mikyx']","['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']",LEC
2023-04-21,13.6,G2 Esports,MAD Lions,MAD Lions,"['BrokenBlade', ' Yike', ' Caps', ' Hans Sama', ' Mikyx']","['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']",LEC
2023-04-21,13.6,MAD Lions,G2 Esports,MAD Lions,"['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']","['BrokenBlade', ' Yike', ' Caps', ' Hans Sama', ' Mikyx']",LEC
2023-04-21,13.6,G2 Esports,MAD Lions,G2 Esports,"['BrokenBlade', ' Yike', ' Caps', ' Hans Sama', ' Mikyx']","['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']",LEC
2023-04-17,13.6,Team BDS,Team Vitality,Team BDS,"['Adam', ' Sheo', ' nuc', ' Crownie', ' Labrov']","['Photon', ' Bo', ' Perkz', ' Upset', ' Kaiser']",LEC
2023-04-17,13.6,Team Vitality,Team BDS,Team BDS,"['Photon', ' Bo', ' Perkz', ' Upset', ' Kaiser']","['Adam', ' Sheo', ' nuc', ' Crownie', ' Labrov']",LEC
